ID1	ID2	GRM	KING
s13	s51	0.0358	0.0000
s13	s52	0.0226	0.0000
s13	s53	0.0172	0.0000
s13	s54	-0.0085	0.0000
s13	s55	0.0201	0.0000
s13	s57	0.0102	0.0000
s13	s58	0.0162	0.0000
s13	s59	0.0033	0.0000
s13	s60	0.0217	0.0000
s13	s61	-0.0016	0.0000
s13	s64	0.0190	0.0000
s13	s66	0.0221	0.0000
s13	s67	-0.0159	0.0000
s13	s68	-0.0112	0.0000
s13	s69	0.0155	0.0000
s13	s73	-0.0188	0.0000
s13	s74	-0.0891	0.0000
s13	s75	-0.0858	0.0000
s13	s76	0.0114	0.0000
s13	s77	0.0148	0.0000
s13	s78	0.0213	0.0000
s13	s79	-0.0881	0.0000
s13	s82	0.0188	0.0000
s13	s83	0.2697	0.1248
s13	s84	0.0102	0.0000
s13	s85	0.3290	0.1555
s13	s87	0.0115	0.0000
s13	s91	-0.0133	0.0000
s13	s92	-0.0024	0.0000
s13	s93	-0.0024	0.0000
s13	s94	-0.0161	0.0000
s13	s95	-0.0159	0.0000
s14	s16	-0.0016	0.0000
s14	s17	-0.0053	0.0000
s14	s18	-0.0087	0.0000
s14	s19	-0.0069	0.0000
s14	s20	-0.0058	0.0000
s14	s24	-0.0053	0.0000
s14	s26	-0.0142	0.0000
s14	s27	0.0590	0.0000
s14	s28	-0.0690	0.0000
s14	s29	-0.0082	0.0000
s14	s30	0.0032	0.0000
s14	s31	-0.0093	0.0000
s14	s32	0.0544	0.0000
s14	s33	0.0099	0.0000
s14	s34	-0.0033	0.0000
s14	s35	-0.0043	0.0000
s14	s36	-0.0102	0.0000
s14	s37	-0.0096	0.0000
s14	s38	-0.0717	0.0000
s14	s41	-0.0058	0.0000
s14	s42	-0.0238	0.0000
s14	s43	-0.0231	0.0000
s14	s46	-0.0235	0.0000
s14	s47	-0.0158	0.0000
s14	s48	-0.0149	0.0000
s14	s49	-0.0714	0.0000
s14	s50	-0.0070	0.0000
s14	s51	-0.0111	0.0000
s14	s52	-0.0082	0.0000
s14	s53	-0.0040	0.0000
s14	s54	0.0577	0.0000
s14	s55	-0.0075	0.0000
s14	s57	-0.0129	0.0000
s14	s58	-0.0058	0.0000
s14	s59	-0.0240	0.0000
s14	s60	-0.0064	0.0000
s14	s61	-0.0186	0.0000
s14	s64	-0.0066	0.0000
s14	s66	-0.0046	0.0000
s14	s67	0.0492	0.0000
s14	s68	0.5138	0.2464
s14	s69	-0.0120	0.0000
s14	s73	0.5101	0.2461
s14	s74	-0.0722	0.0000
s14	s75	-0.0716	0.0000
s14	s76	-0.0146	0.0000
s14	s77	-0.0018	0.0000
s14	s78	-0.0072	0.0000
s14	s79	-0.0715	0.0000
s14	s82	-0.0108	0.0000
s14	s83	-0.0046	0.0000
s14	s84	-0.0147	0.0000
s14	s85	-0.0045	0.0000
s14	s87	-0.0161	0.0000
s14	s91	0.0049	0.0000
s14	s92	-0.0258	0.0000
s14	s93	-0.0258	0.0000
s14	s94	-0.0016	0.0000
s14	s95	0.0492	0.0000
s16	s17	-0.0058	0.0000
s16	s18	-0.0649	0.0000
s16	s19	-0.0611	0.0000
s16	s20	-0.0606	0.0000
s16	s24	-0.0575	0.0000
s16	s26	-0.0418	0.0000
s16	s27	0.0083	0.0000
s16	s28	-0.0908	0.0000
s16	s29	-0.0649	0.0000
s16	s30	0.5398	0.2548
s16	s31	-0.0609	0.0000
s16	s32	0.0004	0.0000
s16	s33	0.1665	0.0000
s16	s34	0.5445	0.2612
s16	s35	-0.0642	0.0000
s16	s36	-0.0629	0.0000
s16	s37	-0.0604	0.0000
s16	s38	-0.0909	0.0000
s16	s41	-0.0645	0.0000
s16	s42	-0.0833	0.0000
s16	s43	-0.0820	0.0000
s16	s46	-0.0850	0.0000
s16	s47	-0.0540	0.0000
s16	s48	-0.0379	0.0000
s16	s49	-0.0891	0.0000
s16	s50	-0.0236	0.0000
s16	s51	-0.0194	0.0000
s16	s52	-0.0643	0.0000
s16	s53	-0.0627	0.0000
s16	s54	-0.0028	0.0000
s16	s55	-0.0646	0.0000
s16	s57	-0.0557	0.0000
s16	s58	-0.0579	0.0000
s16	s59	-0.0846	0.0000
s16	s60	-0.0627	0.0000
s16	s61	-0.0825	0.0000
s16	s64	-0.0646	0.0000
s16	s66	-0.0630	0.0000
s16	s67	-0.0044	0.0000
s16	s68	-0.0061	0.0000
s16	s69	-0.0601	0.0000
s16	s73	-0.0061	0.0000
s16	s74	-0.0917	0.0000
s16	s75	-0.0886	0.0000
s16	s76	-0.0788	0.0000
s16	s77	-0.0607	0.0000
s16	s78	-0.0604	0.0000
s16	s79	-0.0878	0.0000
s16	s82	-0.0629	0.0000
s16	s83	-0.0051	0.0000
s16	s84	-0.0722	0.0000
s16	s85	-0.0030	0.0000
s16	s87	-0.0739	0.0000
s16	s91	0.5391	0.2493
s16	s92	-0.0814	0.0000
s16	s93	-0.0814	0.0000
s16	s94	0.9131	0.5000
s16	s95	-0.0044	0.0000
s17	s18	0.0042	0.0000
s17	s19	0.0098	0.0000
s17	s20	0.0089	0.0000
s17	s24	0.0091	0.0000
s17	s26	0.0222	0.0000
s17	s27	-0.0085	0.0000
s17	s28	-0.0765	0.0000
s17	s29	0.0049	0.0000
s17	s30	-0.0014	0.0000
s17	s31	0.0141	0.0000
s17	s32	-0.0110	0.0000
